nfi_plot,loc_id,meas_date,meas_num,plot_type,nom_plot_size,meas_plot_size,plot_split,site_index,site_index_genus,site_index_species,site_height,lorey_height,site_age,num_lab,num_field,basal_area_standlive,basal_area_standdead,basal_area_falllive,stem_density_standlive,stem_density_standdead,stem_density_falllive,species_ltnum,bindex_ltshannon,bindex_lteven,bindex_ltmargalef,plotbio_stemwood_live,plotbio_stembark_live,plotbio_branches_live,plotbio_foliage_live,plotbio_stemwood_dead,plotbio_stembark_dead,plotbio_branches_dead
634156,0,2004-SEP-11,0,LTC,0.0400,0.0400,F,8.4,PICE,MAR,9.9,8.8,149,5,0,9.76,1.45,0.00,625,50,0,2,0.17,0.24,0.31,18.19,2.79,6.75,6.94,2.98,0.41,1.14
634156,0,2010-AUG-20,1,LTC,0.0400,0.0400,N,8.7,PICE,MAR,10.3,8.6,157,4,0,8.57,2.93,0.00,575,100,0,2,0.18,0.26,0.32,15.79,2.43,5.56,5.18,5.81,0.83,2.26
641001,0,2004-SEP-18,0,LTC,0.0400,0.0400,F,7.1,PICE,MAR,8.3,7.5,176,5,0,11.56,3.22,0.00,1125,200,0,3,0.48,0.43,0.53,18.62,2.99,7.24,9.12,2.87,0.58,1.59
641001,0,2010-SEP-14,1,LTC,0.0400,0.0400,N,7.7,PICE,MAR,9.1,8.0,182,5,0,11.43,3.92,0.00,1050,250,0,3,0.55,0.50,0.54,19.71,3.06,7.09,8.66,3.79,0.72,1.57
641016,0,2003-AUG-22,0,LTC,0.0400,0.0400,F,7.6,PICE,MAR,8.9,8.1,144,5,0,8.85,1.13,0.00,750,100,0,1,0.00,,0.00,15.70,2.53,5.37,6.61,1.75,0.28,0.55
647866,0,2004-SEP-19,0,LTC,0.0400,0.0400,F,6.4,PICE,MAR,7.5,7.0,257,5,0,2.62,0.70,0.00,325,100,0,1,0.00,,0.00,4.27,0.72,1.47,2.08,1.09,0.19,0.36
647866,0,2011-SEP-09,1,LTC,0.0400,0.0400,N,6.3,PICE,MAR,7.4,6.9,264,5,0,2.85,0.37,0.00,350,50,0,1,0.00,,0.00,4.66,0.78,1.59,2.23,0.58,0.10,0.22
647876,0,2003-AUG-30,0,LTC,0.0400,0.0400,F,7.7,PICE,MAR,9.1,8.0,184,5,0,8.88,2.36,1.27,700,175,75,1,0.00,,0.00,17.84,2.84,6.45,7.61,4.24,0.67,1.44
647876,0,2012-SEP-10,1,LTC,0.0400,0.0400,F,7.8,PICE,MAR,9.3,8.3,193,5,0,9.55,1.23,0.18,725,100,25,2,0.15,0.21,0.30,17.00,2.71,6.34,7.08,2.01,0.18,0.80
647886,0,2004-SEP-17,0,LTC,0.0400,0.0400,F,7.7,PICE,MAR,9.0,7.7,185,5,0,7.90,1.50,0.28,800,125,25,2,0.14,0.20,0.29,13.78,2.29,4.65,6.12,2.22,0.36,0.71
647886,0,2010-SEP-12,1,LTC,0.0400,0.0400,N,8.1,PICE,MAR,9.4,8.1,180,4,0,8.25,1.26,0.00,775,75,0,2,0.14,0.20,0.29,14.34,2.37,4.64,5.95,1.62,0.27,3.07
647896,0,2003-AUG-24,0,LTC,0.0400,0.0400,F,8.3,PICE,MAR,9.8,9.8,198,4,0,11.59,4.50,0.00,875,175,0,1,0.00,,0.00,24.05,3.71,6.08,6.86,8.94,1.27,1.96
647896,0,2010-AUG-21,1,LTC,0.0400,0.0400,N,8.9,PICE,MAR,10.6,9.9,222,3,0,11.56,4.54,0.00,825,225,0,1,0.00,,0.00,24.53,3.75,6.02,6.63,6.98,1.04,1.60
647911,0,2004-SEP-20,0,LTC,0.0400,0.0400,F,9.4,PICE,MAR,6.5,6.4,26,5,0,1.71,1.20,0.00,225,100,0,2,0.64,0.92,0.46,2.60,0.42,1.13,1.45,1.25,0.20,0.87
647911,0,2014-AUG-14,1,LTC,0.0400,0.0400,F,10.5,PICE,MAR,8.8,8.4,36,5,0,6.48,0.00,0.00,575,0,0,2,0.67,0.97,0.32,12.22,1.78,3.90,4.15,0.00,0.00,0.00
647926,0,2004-SEP-12,0,LTC,0.0400,0.0400,F,10.2,PICE,MAR,11.8,10.4,204,8,0,19.32,5.71,0.00,1025,300,0,2,0.67,0.96,0.27,37.52,5.87,11.01,11.59,7.83,1.43,2.63
647926,0,2009-SEP-12,1,LTC,0.0400,0.0400,N,10.9,PICE,MAR,13.0,10.6,206,7,0,16.83,6.82,0.00,875,350,0,2,0.68,0.99,0.28,33.68,5.31,9.58,10.06,11.49,1.94,2.95
654746,0,2003-AUG-27,0,LTC,0.0400,0.0400,F,7.6,PICE,MAR,8.9,8.1,144,5,0,14.76,1.34,0.00,1425,125,0,2,0.21,0.30,0.25,26.35,4.30,8.07,10.24,1.81,0.33,0.57
654781,0,2004-SEP-14,0,LTC,0.0400,0.0400,F,11.5,PICE,GLA,13.8,13.6,162,9,0,24.36,10.04,0.00,925,400,0,3,0.67,0.61,0.55,60.71,8.31,12.25,11.10,21.49,3.30,4.22
654781,0,2010-AUG-24,1,LTC,0.0400,0.0400,N,12.6,PICE,GLA,15.3,14.3,166,8,0,23.96,10.73,0.32,825,450,25,3,0.71,0.65,0.57,61.62,8.32,12.29,10.82,24.02,3.47,4.36
654801,0,2004-SEP-10,0,LTC,0.0400,0.0400,F,,,,,,,,,0.00,1.00,0.00,0,100,0,0,,,,0.00,0.00,0.00,0.00,1.91,0.31,0.49
654801,0,2009-SEP-10,1,LTC,0.0400,0.0400,N,,,,,,,,,0.00,0.00,0.00,0,0,0,0,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
654811,0,2004-SEP-08,0,LTC,0.0400,0.0400,F,5.9,PICE,MAR,6.7,6.4,140,4,2,5.01,0.75,0.00,450,50,0,2,0.59,0.85,0.35,6.60,1.19,3.55,4.92,1.07,0.17,0.56
654811,0,2009-SEP-19,1,LTC,0.0400,0.0400,N,6.7,PICE,MAR,7.6,6.9,145,4,2,4.57,1.44,0.00,450,75,0,3,0.73,0.67,0.69,6.54,1.14,2.84,3.15,1.69,0.31,1.01
654821,0,2004-SEP-09,0,LTC,0.0400,0.0400,F,12.3,ABIE,BAL,14.2,11.3,194,5,0,21.52,2.84,0.00,1125,150,0,2,0.30,0.43,0.26,38.04,7.25,10.65,12.11,3.97,0.78,1.10
654821,0,2009-SEP-17,1,LTC,0.0400,0.0400,N,12.7,ABIE,BAL,14.7,11.9,199,5,0,24.65,2.84,0.00,1150,150,0,2,0.30,0.43,0.26,45.16,8.61,12.31,12.79,3.37,0.69,1.44
668506,0,2004-SEP-16,0,LTC,0.0400,0.0400,F,9.4,PICE,MAR,11.2,9.4,170,5,0,21.84,2.99,0.97,1450,125,50,2,0.33,0.48,0.25,44.66,6.98,13.18,14.41,5.09,0.87,1.52
668596,0,2004-JUL-09,0,LTC,0.0400,0.0400,F,7.7,PICE,MAR,8.7,8.6,131,8,0,16.93,4.08,0.36,1250,250,25,2,0.61,0.88,0.26,28.81,4.99,10.14,12.15,6.12,1.13,1.77
668596,0,2014-JUL-19,1,LTC,0.0400,0.0400,F,8.1,PICE,MAR,9.2,8.7,121,5,0,16.75,5.66,0.95,1175,300,25,2,0.57,0.82,0.26,31.09,5.20,10.43,10.65,7.35,1.26,2.91
668691,0,2003-JUL-20,0,LTC,0.0400,0.0400,F,6.9,PICE,MAR,7.3,7.1,96,6,0,7.35,0.36,0.00,900,25,0,2,0.56,0.81,0.28,11.33,1.96,3.77,5.50,0.49,0.10,0.16
668691,0,2011-JUL-20,1,LTC,0.0400,0.0400,N,7.2,PICE,MAR,7.9,7.5,102,6,0,9.70,0.87,0.00,1100,75,0,2,0.47,0.68,0.26,15.97,2.70,4.95,6.63,0.90,0.18,0.28
675546,0,2003-JUL-21,0,LTC,0.0400,0.0400,F,6.4,PICE,MAR,7.2,7.1,96,4,0,1.33,0.31,0.00,125,25,0,2,0.50,0.72,0.62,2.12,0.34,0.90,1.08,0.40,0.07,0.22
675546,0,2011-JUL-11,1,LTC,0.0400,0.0400,N,6.6,PICE,MAR,7.4,7.4,104,3,0,0.91,0.99,0.00,75,75,0,2,0.64,0.92,0.91,1.49,0.23,0.64,0.66,1.47,0.24,0.71
682421,0,2003-AUG-16,0,LTC,0.0400,0.0400,F,11.3,PICE,MAR,13.6,11.7,167,6,0,45.80,3.91,0.00,2525,225,0,2,0.13,0.19,0.22,109.12,15.70,23.69,22.64,8.64,1.26,1.72
682421,0,2008-SEP-27,1,LTC,0.0400,0.0400,N,,,,,11.4,,,,0.76,1.50,0.00,25,25,0,1,0.00,,0.00,1.75,0.20,0.61,0.15,3.99,0.34,1.35
682436,0,2003-JUL-20,0,LTC,0.0400,0.0400,F,10.1,PICE,MAR,11.2,11.2,86,5,0,10.65,3.48,0.00,500,250,0,2,0.20,0.29,0.33,23.50,3.50,6.27,5.98,6.29,0.97,1.52
682436,0,2015-JUL-17,1,LTC,0.0400,0.0400,F,10.4,PICE,MAR,11.9,12.0,98,5,0,10.85,0.58,0.00,450,75,0,3,0.43,0.39,0.69,24.87,3.66,6.15,3.27,1.11,0.06,0.17
682441,0,2004-SEP-30,0,LTC,0.0400,0.0400,F,7.6,PICE,MAR,8.6,8.2,113,6,0,14.83,2.92,0.00,1150,225,0,2,0.24,0.35,0.26,25.99,4.17,9.54,11.15,3.51,0.61,1.38
682441,0,2011-JUL-06,1,LTC,0.0400,0.0400,N,7.8,PICE,MAR,8.9,8.3,120,6,0,14.77,2.85,0.32,1100,250,25,2,0.25,0.36,0.26,26.84,4.29,9.59,10.98,4.31,0.52,0.66
689141,0,2003-SEP-13,0,LTC,0.0400,0.0400,F,7.4,PICE,MAR,8.8,8.0,226,4,1,7.42,0.81,0.00,800,100,0,2,0.31,0.45,0.29,12.79,2.17,3.77,5.09,1.05,0.18,0.40
689251,0,2004-JUL-08,0,LTC,0.0400,0.0400,F,6.4,ABIE,BAL,7.1,6.6,126,6,0,12.74,1.57,0.00,975,150,0,3,0.86,0.78,0.55,15.82,3.00,9.37,12.44,2.07,0.38,1.07
689251,0,2014-JUL-07,1,LTC,0.0400,0.0400,F,7.0,ABIE,BAL,7.8,6.8,136,6,0,13.01,2.05,0.00,975,175,0,3,0.86,0.78,0.55,16.49,3.08,9.86,10.79,2.29,0.39,0.21
