nfi_plot,loc_id,meas_date,meas_num,quadrant,tree_num,site_type,bore_dob,bore_ht,suit_ht,suit_age,field_age,pro_code,core_length,dtp,core_rings,lab_method,lab_age,confidence,mount_ref,age_corr_years,age_total
634156,0,2004-SEP-11,0,NR,501,U ,15.8,1.3,Y,Y,108,NR,7.2000,0.7000,97,U,103,2,T0634156-501,30,133
634156,0,2004-SEP-11,0,NR,503,U ,23.2,1.3,N,Y,115,NA,9.8000,0.0000,115,U,115,1,T0634156-503,30,145
634156,0,2004-SEP-11,0,NR,511,U ,17.5,1.3,Y,Y,147,NR,8.8000,0.3000,143,U,148,2,T0634156-511,30,178
634156,0,2004-SEP-11,0,NR,516,U ,15.6,1.3,Y,Y,123,NA,6.9000,0.0000,111,U,111,1,T0634156-516,30,141
634156,0,2004-SEP-11,0,NR,525,U ,16.8,1.3,Y,Y,123,NA,8.9000,0.0000,120,U,120,1,T0634156-525,30,150
634156,0,2010-AUG-20,1,NR,501,U ,16.4,1.3,Y,Y,-8,NR,-1.0000,-1.0000,-1,U,-1,-1,M,30,139
634156,0,2010-AUG-20,1,NR,511,U ,18.2,1.3,Y,Y,-8,NR,-1.0000,-1.0000,-1,U,-1,-1,M,30,184
634156,0,2010-AUG-20,1,NR,516,U ,15.8,1.3,N,Y,-8,NR,-1.0000,-1.0000,-1,U,-1,-1,M,30,147
634156,0,2010-AUG-20,1,NR,525,U ,17.0,1.3,Y,Y,-8,NR,-1.0000,-1.0000,-1,U,-1,-1,M,30,156
641001,0,2004-SEP-18,0,NR,743,U ,14.4,1.3,Y,Y,160,NR,4.9000,0.7000,133,U,148,2,T0641001-743,30,178
641001,0,2004-SEP-18,0,NR,753,U ,12.5,1.3,Y,Y,110,NR,4.5000,1.0000,104,U,126,2,T0641001-753,30,156
641001,0,2004-SEP-18,0,NR,760,U ,21.7,1.3,Y,Y,192,NR,12.1000,0.4000,170,U,175,2,T0641001-760,30,205
641001,0,2004-SEP-18,0,NR,774,U ,12.2,1.3,Y,Y,135,NR,4.1000,0.5000,121,U,133,2,T0641001-774,30,163
641001,0,2004-SEP-18,0,NR,782,U ,12.8,1.3,Y,Y,162,NA,5.1000,0.0000,148,U,148,1,T0641001-782,30,178
641001,0,2010-SEP-14,1,NR,743,U ,14.6,1.3,Y,Y,-8,NR,-1.0000,-1.0000,-1,U,-1,-1,M,30,184
641001,0,2010-SEP-14,1,NR,753,U ,15.1,1.3,Y,Y,-8,NR,-1.0000,-1.0000,-1,U,-1,-1,M,30,162
641001,0,2010-SEP-14,1,NR,760,U ,23.5,1.3,Y,Y,-8,NR,-1.0000,-1.0000,-1,U,-1,-1,M,30,211
