nfi_plot,loc_id,meas_num,species_num,genus,species,variety,percent
634156,0,0,1,PICE,MAR,,92.6
634156,0,0,2,LARI,LAR,,7.4
634156,0,1,1,PICE,MAR,,91.1
634156,0,1,2,LARI,LAR,,8.9
641001,0,0,1,PICE,MAR,,81.2
641001,0,0,2,LARI,LAR,,10.4
641001,0,0,3,ABIE,BAL,,8.4
641001,0,1,1,PICE,MAR,,76.0
641001,0,1,2,LARI,LAR,,13.0
641001,0,1,3,ABIE,BAL,,11.0
641016,0,0,1,PICE,MAR,,100.0
647866,0,0,1,PICE,MAR,,100.0
647866,0,1,1,PICE,MAR,,100.0
647876,0,0,1,PICE,MAR,,100.0
647876,0,1,1,PICE,MAR,,98.1
647876,0,1,2,ABIE,BAL,,1.9
647886,0,0,1,PICE,MAR,,93.9
647886,0,0,2,ABIE,BAL,,6.1
647886,0,1,1,PICE,MAR,,93.2
647886,0,1,2,ABIE,BAL,,6.8
647896,0,0,1,PICE,MAR,,100.0
647896,0,1,1,PICE,MAR,,100.0
647911,0,0,1,PICE,MAR,,63.5
647911,0,0,2,LARI,LAR,,36.5
647911,0,1,1,PICE,MAR,,62.3
647911,0,1,2,LARI,LAR,,37.7
647926,0,0,1,PICE,MAR,,71.1
647926,0,0,2,ABIE,BAL,,28.9
647926,0,1,1,PICE,MAR,,66.6
647926,0,1,2,ABIE,BAL,,33.4
654746,0,0,1,PICE,MAR,,94.3
654746,0,0,2,ABIE,BAL,,5.7
654781,0,0,1,PICE,MAR,,61.4
654781,0,0,2,PICE,GLA,,37.9
654781,0,0,3,ABIE,BAL,,0.7
654781,0,1,1,PICE,MAR,,58.1
654781,0,1,2,PICE,GLA,,41.0
654781,0,1,3,ABIE,BAL,,0.9
654811,0,0,1,PICE,MAR,,63.8
654811,0,0,2,ABIE,BAL,,36.2
654811,0,1,1,PICE,MAR,,69.2
654811,0,1,2,ABIE,BAL,,27.2
654811,0,1,3,LARI,LAR,,3.6
654821,0,0,1,ABIE,BAL,,89.6
654821,0,0,2,PICE,GLA,,10.4
654821,0,1,1,ABIE,BAL,,89.7
654821,0,1,2,PICE,GLA,,10.3
668506,0,0,1,PICE,MAR,,88.3
668506,0,0,2,ABIE,BAL,,11.7
668596,0,0,1,PICE,MAR,,63.0
668596,0,0,2,ABIE,BAL,,37.0
668596,0,1,1,PICE,MAR,,70.5
668596,0,1,2,ABIE,BAL,,29.5
668691,0,0,1,PICE,MAR,,73.8
668691,0,0,2,ABIE,BAL,,26.2
668691,0,1,1,PICE,MAR,,81.7
668691,0,1,2,ABIE,BAL,,18.3
675546,0,0,1,PICE,MAR,,81.8
675546,0,0,2,LARI,LAR,,18.2
675546,0,1,1,PICE,MAR,,63.4
675546,0,1,2,LARI,LAR,,36.6
682421,0,0,1,PICE,MAR,,93.0
682421,0,0,2,LARI,LAR,,7.0
682421,0,1,1,LARI,LAR,,100.0
682436,0,0,1,PICE,MAR,,94.5
682436,0,0,2,ABIE,BAL,,5.5
682436,0,1,1,PICE,MAR,,89.1
682436,0,1,2,ABIE,BAL,,8.9
682436,0,1,3,LARI,LAR,,2.0
682441,0,0,1,PICE,MAR,,94.8
682441,0,0,2,ABIE,BAL,,5.2
682441,0,1,1,PICE,MAR,,94.1
682441,0,1,2,ABIE,BAL,,5.9
689141,0,0,1,PICE,MAR,,81.1
689141,0,0,2,ABIE,BAL,,18.9
689251,0,0,1,ABIE,BAL,,57.6
689251,0,0,2,PICE,MAR,,35.4
689251,0,0,3,BETU,PAP,,7.1
689251,0,1,1,ABIE,BAL,,55.3
689251,0,1,2,PICE,MAR,,37.8
689251,0,1,3,BETU,PAP,,6.9
689336,0,0,1,PICE,MAR,,100.0
689336,0,1,1,PICE,MAR,,100.0
696021,0,0,1,PICE,MAR,,96.9
696021,0,0,2,ABIE,BAL,,3.1
696021,0,1,1,PICE,MAR,,96.7
696021,0,1,2,ABIE,BAL,,3.3
696121,0,0,1,ABIE,BAL,,84.0
696121,0,0,2,PICE,MAR,,16.0
696121,0,1,1,ABIE,BAL,,76.3
696121,0,1,2,PICE,MAR,,23.7
696151,0,0,1,ABIE,BAL,,59.6
696151,0,0,2,PICE,MAR,,40.4
696151,0,1,1,ABIE,BAL,,56.0
696151,0,1,2,PICE,MAR,,44.0
696201,0,0,1,PICE,MAR,,100.0
696201,0,1,1,PICE,MAR,,100.0
702906,0,0,1,PICE,MAR,,74.9
702906,0,0,2,ABIE,BAL,,24.6
702906,0,0,3,SALI,SPP,,0.6
702906,0,1,1,PICE,MAR,,94.5
702906,0,1,2,ABIE,BAL,,5.5
709886,0,0,1,ABIE,BAL,,91.1
709886,0,0,2,PICE,MAR,,8.9
709886,0,1,1,ABIE,BAL,,88.4
709886,0,1,2,PICE,MAR,,11.6
716766,0,0,1,ABIE,BAL,,54.1
716766,0,0,2,PICE,MAR,,37.4
716766,0,0,3,PICE,GLA,,8.6
716766,0,1,1,ABIE,BAL,,56.9
716766,0,1,2,PICE,MAR,,43.1
716796,0,0,1,PICE,MAR,,61.4
716796,0,0,2,ABIE,BAL,,38.6
716796,0,1,1,PICE,MAR,,68.7
716796,0,1,2,ABIE,BAL,,31.3
716806,0,0,1,PICE,MAR,,100.0
716806,0,1,1,PICE,MAR,,100.0
716841,0,0,1,PICE,MAR,,91.8
716841,0,0,2,LARI,LAR,,4.5
716841,0,0,3,ABIE,BAL,,3.7
716841,0,1,1,PICE,MAR,,92.8
716841,0,1,2,ABIE,BAL,,4.9
716841,0,1,3,LARI,LAR,,2.4
723546,0,0,1,PICE,MAR,,73.9
723546,0,0,2,ABIE,BAL,,26.1
723666,0,0,1,PICE,MAR,,100.0
723716,0,0,1,ABIE,BAL,,100.0
723716,0,1,1,PICE,MAR,,100.0
730571,0,0,1,PICE,MAR,,60.7
730571,0,0,2,ABIE,BAL,,17.8
730571,0,0,3,BETU,PAP,,12.0
730571,0,0,4,POPU,TRE,,8.5
730571,0,0,5,LARI,LAR,,1.0
744171,0,0,1,PICE,MAR,,91.1
744171,0,0,2,ABIE,BAL,,8.9
744171,0,1,1,PICE,MAR,,87.5
744171,0,1,2,ABIE,BAL,,12.5
744316,0,0,1,PICE,MAR,,51.7
744316,0,0,2,ABIE,BAL,,48.3
744316,0,1,1,PICE,MAR,,56.1
744316,0,1,2,ABIE,BAL,,43.9
771831,0,0,1,ABIE,BAL,,52.5
771831,0,0,2,BETU,PAP,,26.9
771831,0,0,3,PICE,GLA,,20.6
777571,0,0,1,PICE,MAR,,100.0
778621,0,0,1,ABIE,BAL,,46.6
778621,0,0,2,PICE,GLA,,44.1
778621,0,0,3,BETU,PAP,,8.1
778621,0,0,4,PICE,MAR,,1.2
778621,1,0,1,ABIE,BAL,,71.2
778621,1,0,2,BETU,PAP,,28.8
784461,0,0,1,PICE,GLA,,100.0
785506,0,0,1,ABIE,BAL,,75.2
785506,0,0,2,PICE,MAR,,24.8
785506,1,0,1,PICE,MAR,,46.0
785506,1,0,2,ABIE,BAL,,41.2
785506,1,0,3,PICE,GLA,,8.0
785506,1,0,4,SALI,HUM,,3.3
785506,1,0,5,BETU,PAP,,1.5
791331,0,0,1,PICE,MAR,,100.0
798221,0,0,1,PICE,GLA,,100.0
805121,0,0,1,PICE,GLA,,100.0
805126,0,0,1,PICE,MAR,,62.4
805126,0,0,2,PICE,GLA,,37.6
805141,0,0,1,PICE,GLA,,68.8
805141,0,0,2,PICE,MAR,,31.2
806156,0,0,1,PICE,GLA,,32.8
806156,0,0,2,PICE,MAR,,31.3
806156,0,0,3,ABIE,BAL,,29.6
806156,0,0,4,BETU,PAP,,6.3
806156,0,1,1,ABIE,BAL,,47.2
806156,0,1,2,PICE,GLA,,26.9
806156,0,1,3,PICE,MAR,,20.5
806156,0,1,4,BETU,PAP,,5.4
812001,0,0,1,PICE,GLA,,100.0
812016,0,0,1,PICE,GLA,,100.0
812056,0,0,1,PICE,GLA,,96.6
812056,0,0,2,PICE,MAR,,3.4
825796,0,0,1,PICE,MAR,,53.0
825796,0,0,2,PICE,GLA,,47.0
832646,0,0,1,PICE,GLA,,57.7
832646,0,0,2,PICE,MAR,,42.3
832656,0,0,1,PICE,GLA,,74.9
832656,0,0,2,PICE,MAR,,17.2
832656,0,0,3,LARI,LAR,,7.9
833646,0,0,1,PICE,MAR,,100.0
833646,0,1,1,PICE,MAR,,100.0
839536,0,0,1,PICE,GLA,,100.0
839566,0,0,1,PICE,GLA,,100.0
846411,0,0,1,PICE,MAR,,100.0
846436,0,0,1,PICE,MAR,,100.0
846466,0,0,1,PICE,GLA,,86.2
846466,0,0,2,LARI,LAR,,13.8
853296,0,0,1,PICE,GLA,,100.0
853326,0,0,1,PICE,GLA,,92.0
853326,0,0,2,PICE,MAR,,8.0
853346,0,0,1,PICE,GLA,,96.7
853346,0,0,2,LARI,LAR,,3.3
854281,0,0,1,PICE,MAR,,63.2
854281,0,0,2,ABIE,BAL,,36.8
854281,1,0,1,ABIE,BAL,,65.5
854281,1,0,2,PICE,MAR,,34.5
854321,0,0,1,PICE,GLA,,78.7
854321,0,0,2,ABIE,BAL,,21.3
861151,0,0,1,ABIE,BAL,,52.3
861151,0,0,2,PICE,GLA,,40.2
861151,0,0,3,PICE,MAR,,7.5
861151,0,1,1,ABIE,BAL,,57.1
