nfi_plot,loc_id,meas_num,species_num,genus,species,variety,species_ltrel
634156,0,0,1,PICE,MAR,,0.960
634156,0,0,2,LARI,LAR,,0.040
634156,0,1,1,PICE,MAR,,0.957
634156,0,1,2,LARI,LAR,,0.043
641001,0,0,1,PICE,MAR,,0.867
641001,0,0,2,ABIE,BAL,,0.089
641001,0,0,3,LARI,LAR,,0.044
641001,0,1,1,PICE,MAR,,0.833
641001,0,1,2,ABIE,BAL,,0.119
641001,0,1,3,LARI,LAR,,0.048
641016,0,0,1,PICE,MAR,,1.000
647866,0,0,1,PICE,MAR,,1.000
647866,0,1,1,PICE,MAR,,1.000
647876,0,0,1,PICE,MAR,,1.000
647876,0,1,1,PICE,MAR,,0.966
647876,0,1,2,ABIE,BAL,,0.034
647886,0,0,1,PICE,MAR,,0.969
647886,0,0,2,ABIE,BAL,,0.031
647886,0,1,1,PICE,MAR,,0.968
647886,0,1,2,ABIE,BAL,,0.032
647896,0,0,1,PICE,MAR,,1.000
647896,0,1,1,PICE,MAR,,1.000
647911,0,0,1,PICE,MAR,,0.667
647911,0,0,2,LARI,LAR,,0.333
647911,0,1,1,PICE,MAR,,0.609
647911,0,1,2,LARI,LAR,,0.391
647926,0,0,1,PICE,MAR,,0.610
647926,0,0,2,ABIE,BAL,,0.390
647926,0,1,1,PICE,MAR,,0.571
647926,0,1,2,ABIE,BAL,,0.429
654746,0,0,1,PICE,MAR,,0.947
654746,0,0,2,ABIE,BAL,,0.053
654781,0,0,1,PICE,MAR,,0.730
654781,0,0,2,PICE,GLA,,0.243
654781,0,0,3,ABIE,BAL,,0.027
654781,0,1,1,PICE,MAR,,0.697
654781,0,1,2,PICE,GLA,,0.273
654781,0,1,3,ABIE,BAL,,0.030
654811,0,0,1,PICE,MAR,,0.722
654811,0,0,2,ABIE,BAL,,0.278
654811,0,1,1,PICE,MAR,,0.722
654811,0,1,2,ABIE,BAL,,0.222
654811,0,1,3,LARI,LAR,,0.056
654821,0,0,1,ABIE,BAL,,0.911
654821,0,0,2,PICE,GLA,,0.089
654821,0,1,1,ABIE,BAL,,0.913
654821,0,1,2,PICE,GLA,,0.087
668506,0,0,1,PICE,MAR,,0.897
668506,0,0,2,ABIE,BAL,,0.103
668596,0,0,1,PICE,MAR,,0.700
668596,0,0,2,ABIE,BAL,,0.300
668596,0,1,1,PICE,MAR,,0.745
668596,0,1,2,ABIE,BAL,,0.255
668691,0,0,1,PICE,MAR,,0.750
668691,0,0,2,ABIE,BAL,,0.250
668691,0,1,1,PICE,MAR,,0.818
668691,0,1,2,ABIE,BAL,,0.182
675546,0,0,1,PICE,MAR,,0.800
675546,0,0,2,LARI,LAR,,0.200
675546,0,1,1,PICE,MAR,,0.667
675546,0,1,2,LARI,LAR,,0.333
682421,0,0,1,PICE,MAR,,0.970
682421,0,0,2,LARI,LAR,,0.030
682421,0,1,1,LARI,LAR,,1.000
682436,0,0,1,PICE,MAR,,0.950
682436,0,0,2,ABIE,BAL,,0.050
682436,0,1,1,PICE,MAR,,0.889
682436,0,1,2,ABIE,BAL,,0.056
682436,0,1,3,LARI,LAR,,0.056
682441,0,0,1,PICE,MAR,,0.935
682441,0,0,2,ABIE,BAL,,0.065
682441,0,1,1,PICE,MAR,,0.932
682441,0,1,2,ABIE,BAL,,0.068
689141,0,0,1,PICE,MAR,,0.906
689141,0,0,2,ABIE,BAL,,0.094
689251,0,0,1,ABIE,BAL,,0.513
689251,0,0,2,PICE,MAR,,0.436
689251,0,0,3,BETU,PAP,,0.051
689251,0,1,1,ABIE,BAL,,0.487
689251,0,1,2,PICE,MAR,,0.462
689251,0,1,3,BETU,PAP,,0.051
689336,0,0,1,PICE,MAR,,1.000
689336,0,1,1,PICE,MAR,,1.000
696021,0,0,1,PICE,MAR,,0.958
696021,0,0,2,ABIE,BAL,,0.042
696021,0,1,1,PICE,MAR,,0.958
696021,0,1,2,ABIE,BAL,,0.042
696121,0,0,1,ABIE,BAL,,0.750
696121,0,0,2,PICE,MAR,,0.250
696121,0,1,1,ABIE,BAL,,0.818
696121,0,1,2,PICE,MAR,,0.182
696151,0,0,1,ABIE,BAL,,0.571
696151,0,0,2,PICE,MAR,,0.429
696151,0,1,1,ABIE,BAL,,0.545
696151,0,1,2,PICE,MAR,,0.455
696201,0,0,1,PICE,MAR,,1.000
696201,0,1,1,PICE,MAR,,1.000
702906,0,0,1,PICE,MAR,,0.875
702906,0,0,2,ABIE,BAL,,0.107
702906,0,0,3,SALI,SPP,,0.018
702906,0,1,1,PICE,MAR,,0.953
702906,0,1,2,ABIE,BAL,,0.047
709886,0,0,1,ABIE,BAL,,0.909
709886,0,0,2,PICE,MAR,,0.091
709886,0,1,1,ABIE,BAL,,0.909
709886,0,1,2,PICE,MAR,,0.091
716766,0,0,1,ABIE,BAL,,0.594
716766,0,0,2,PICE,MAR,,0.375
716766,0,0,3,PICE,GLA,,0.031
716766,0,1,1,ABIE,BAL,,0.576
716766,0,1,2,PICE,MAR,,0.424
716796,0,0,1,PICE,MAR,,0.641
716796,0,0,2,ABIE,BAL,,0.359
716796,0,1,1,PICE,MAR,,0.685
