nfi_plot,loc_id,meas_num,species_num,genus,species,variety,species_strel
634156,0,0,1,PICE,MAR,,0.778
634156,0,0,2,LARI,LAR,,0.222
634156,0,1,1,PICE,MAR,,0.875
634156,0,1,2,LARI,LAR,,0.125
641001,0,0,1,PICE,MAR,,0.975
641001,0,0,2,ABIE,BAL,,0.025
641001,0,1,1,PICE,MAR,,0.974
641001,0,1,2,ABIE,BAL,,0.026
641016,0,0,1,PICE,MAR,,0.944
641016,0,0,2,ABIE,BAL,,0.056
647866,0,0,1,PICE,MAR,,1.000
647866,0,1,1,PICE,MAR,,1.000
647876,0,0,1,PICE,MAR,,0.917
647876,0,0,2,ABIE,BAL,,0.083
647876,0,1,1,PICE,MAR,,0.929
647876,0,1,2,ABIE,BAL,,0.071
647886,0,0,1,PICE,MAR,,1.000
647886,0,1,1,PICE,MAR,,1.000
647896,0,0,1,PICE,MAR,,0.895
647896,0,0,2,ALNU,RUG,,0.053
647896,0,0,3,SALI,SPP,,0.053
647896,0,1,1,PICE,MAR,,1.000
647911,0,0,1,LARI,LAR,,0.571
647911,0,0,2,PICE,MAR,,0.429
647911,0,1,1,LARI,LAR,,0.571
647911,0,1,2,PICE,MAR,,0.429
647926,0,0,1,PICE,MAR,,0.889
647926,0,0,2,ABIE,BAL,,0.111
647926,0,1,1,PICE,MAR,,0.889
647926,0,1,2,ABIE,BAL,,0.111
654746,0,0,1,PICE,MAR,,1.000
654781,0,0,1,PICE,MAR,,0.867
654781,0,0,2,ABIE,BAL,,0.133
654781,0,1,1,PICE,MAR,,0.739
654781,0,1,2,ABIE,BAL,,0.261
654801,0,0,1,PICE,MAR,,1.000
654801,0,1,1,PICE,MAR,,1.000
654811,0,0,1,PICE,MAR,,1.000
654811,0,1,1,PICE,MAR,,1.000
654821,0,0,1,ABIE,BAL,,1.000
654821,0,1,1,ABIE,BAL,,1.000
668506,0,0,1,PICE,MAR,,0.684
668506,0,0,2,ABIE,BAL,,0.316
668596,0,0,1,PICE,MAR,,0.750
668596,0,0,2,ABIE,BAL,,0.250
668596,0,1,1,PICE,MAR,,0.571
668596,0,1,2,ABIE,BAL,,0.429
668691,0,0,1,PICE,MAR,,0.897
668691,0,0,2,ABIE,BAL,,0.090
668691,0,0,3,BETU,PAP,,0.013
668691,0,1,1,PICE,MAR,,0.894
668691,0,1,2,ABIE,BAL,,0.091
668691,0,1,3,BETU,PAP,,0.015
675546,0,0,1,PICE,MAR,,1.000
675546,0,1,1,PICE,MAR,,1.000
682421,0,0,1,PICE,MAR,,1.000
682436,0,0,1,PICE,MAR,,0.889
682436,0,0,2,LARI,LAR,,0.111
682436,0,1,1,PICE,MAR,,1.000
682441,0,0,1,PICE,MAR,,0.764
682441,0,0,2,BETU,PAP,,0.182
682441,0,0,3,SALI,SPP,,0.036
682441,0,0,4,ABIE,BAL,,0.018
682441,0,1,1,PICE,MAR,,0.873
682441,0,1,2,BETU,PAP,,0.111
682441,0,1,3,ABIE,BAL,,0.016
689141,0,0,1,PICE,MAR,,1.000
689251,0,0,1,PICE,MAR,,0.622
689251,0,0,2,ABIE,BAL,,0.378
689251,0,1,1,PICE,MAR,,0.607
689251,0,1,2,ABIE,BAL,,0.393
689336,0,0,1,PICE,MAR,,0.988
689336,0,0,2,ABIE,BAL,,0.012
689336,0,1,1,PICE,MAR,,0.988
689336,0,1,2,ABIE,BAL,,0.012
696021,0,0,1,PICE,MAR,,1.000
696021,0,1,1,PICE,MAR,,1.000
696121,0,0,1,ABIE,BAL,,1.000
696121,0,1,1,ABIE,BAL,,1.000
696151,0,0,1,ALNU,RUG,,0.656
696151,0,0,2,PICE,MAR,,0.164
696151,0,0,3,BETU,PAP,,0.098
696151,0,0,4,ABIE,BAL,,0.082
696151,0,1,1,PICE,MAR,,0.714
696151,0,1,2,ABIE,BAL,,0.286
696201,0,0,1,PICE,MAR,,1.000
696201,0,1,1,PICE,MAR,,1.000
702906,0,0,1,ALNU,RUG,,0.769
702906,0,0,2,ABIE,BAL,,0.115
702906,0,0,3,BETU,PAP,,0.077
702906,0,0,4,PICE,MAR,,0.038
702906,0,1,1,ABIE,BAL,,0.667
702906,0,1,2,BETU,PAP,,0.167
702906,0,1,3,PICE,MAR,,0.167
709886,0,0,1,ABIE,BAL,,1.000
709886,0,1,1,ABIE,BAL,,1.000
716766,0,0,1,PICE,MAR,,0.696
716766,0,0,2,ABIE,BAL,,0.217
716766,0,0,3,PICE,GLA,,0.087
716766,0,1,1,PICE,MAR,,0.682
716766,0,1,2,ABIE,BAL,,0.273
716766,0,1,3,PICE,GLA,,0.045
716796,0,0,1,PICE,MAR,,0.545
716796,0,0,2,ABIE,BAL,,0.455
716796,0,1,1,PICE,MAR,,0.545
716796,0,1,2,ABIE,BAL,,0.455
716806,0,0,1,ABIE,BAL,,0.548
716806,0,0,2,PICE,MAR,,0.419
716806,0,0,3,ALNU,RUG,,0.032
716806,0,1,1,ABIE,BAL,,0.597
716806,0,1,2,PICE,MAR,,0.403
716841,0,0,1,PICE,MAR,,1.000
