nfi_plot,loc_id,meas_date,meas_num,plot_completion,incomp_reason,province,ecozone,prov_eco_type,prov_eco_ref,utm_n,utm_e,utm_zone,slope,aspect,elevation,land_base,land_cover,land_pos,plotvol_falllive,veg_type,density_cl,stand_stru,succ_stage,wetland_class,user_info,ec_region,ec_district,plotvol_standlive,plotvol_standdead,plotvol_smtr_live,plotvol_smtr_dead,grossvol_incr,grossvol_mai,plotvol_stump,plotbio_stump,plotbio_smstump,plotbio_lgtr_live,plotbio_lgtr_dead,plotbio_smtr_live,plotbio_smtr_dead,plotbio_lgshrub_live,plotbio_lgshrub_dead,plotvol_oddwd,plotbio_smshrub,plotbio_herb,plotbio_bryo,plotbio_fwd,plotvol_swd,plotbio_swd,plotvol_cwd,plotbio_cwd,plotvol_roundwd,plotbio_roundwd,plotbio_oddwd,sample_depth_min,sample_depth_org,cc_for_floor_8mm,cc_for_floor_total,cc_min0_15,cc_min15_35,cc_min35_55,cc_organic0_15_8mm,cc_organic0_15_total,cc_organic15_35_8mm,cc_organic15_35_total,cc_organic35_55_8mm,cc_organic35_55_total,avg_org_carb,avg_bulk_density_org
634156,0,2004-SEP-11,0,N,NR,NL,6,Boreal-MidBoredForest(ParadiseRiver),1,5868656,551397,21,18,180,54,V,T,U,0.00,TC,OP,SNGL,LS,U,-1,104,449,38.35,6.55,1.41,0.00,,0.30,,,,34.67,4.53,2.90,0.00,,,0.00,4.63,0.13,4.76,0.72,0.49,0.12,2.75,0.94,2.75,0.94,0.00,53.5,,33.6,37.8,19.1,59.3,34.2,,,,,,,490.20,0.06
634156,0,2010-AUG-23,1,F,NA,NL,6,,-1,5868656,551396,21,18,180,54,V,T,U,0.00,TC,OP,SNGL,LS,U,-1,,,33.03,12.82,1.98,0.00,,0.29,,,0.00,28.96,8.90,3.91,0.00,0.00,0.00,0.00,2.99,0.23,5.39,2.99,0.99,0.34,2.44,0.62,2.44,0.62,0.00,15.0,,64.2,73.2,35.2,,,,,,,,,484.63,0.09
641001,0,2004-SEP-18,0,N,NR,NL,6,Boreal-Mid-BoredForestParadiseRiver,1,5974021,456796,21,0,999,98,V,T,U,0.00,TC,OP,SNGL,LS,U,-1,104,448,38.38,7.81,17.41,0.39,,0.26,2.72,0.90,,37.97,5.05,30.70,0.41,,,1.50,5.10,0.01,4.96,0.69,1.97,0.61,19.84,5.49,18.34,5.28,0.21,55.0,,46.1,57.8,75.1,90.4,88.1,,,,,,,504.16,0.06
641001,0,2010-SEP-14,1,F,NA,NL,6,,-1,5974021,456796,21,0,999,99,V,T,U,0.00,TC,OP,SNGL,LS,U,-1,,,40.59,9.61,17.52,0.00,,0.28,2.64,0.90,0.00,38.52,6.08,34.64,0.00,0.00,0.00,0.00,7.92,0.12,4.06,1.49,6.05,2.26,9.13,3.55,9.13,3.55,0.00,15.0,,53.7,67.2,55.5,,,,,,,,,496.65,0.07
641016,0,2003-AUG-22,0,N,NR,NL,6,Boreal-MidBorealForest(ParadiseRiver),1,5924091,490213,21,0,999,122,V,T,U,0.00,TC,OP,SNGL,TS,U,-1,104,449,32.16,3.54,15.94,0.00,,0.25,,,,30.21,2.58,24.27,0.00,,,0.00,5.90,0.00,8.35,0.46,0.00,0.00,5.22,1.78,5.22,1.78,0.00,35.0,,40.5,70.0,31.6,58.7,,,,,,,,394.17,0.06
647866,0,2004-SEP-19,0,N,NR,NL,6,Boreal-HighBoredForest(LakeMelville),1,6012815,406727,21,0,999,41,V,T,U,0.00,TC,SP,SNGL,TS,U,-1,105,451,8.44,2.12,10.03,7.21,,0.04,,,,8.54,1.64,19.79,5.86,,,0.00,7.67,0.00,7.85,1.19,3.64,0.92,5.01,1.63,5.01,1.63,0.00,,,60.6,70.5,,,,,,,,,,510.20,0.07
647866,0,2011-SEP-09,1,F,NA,NL,6,,-1,6012815,406727,21,0,999,41,V,T,U,0.00,TC,SP,SNGL,TS,U,-1,,,9.24,1.13,12.37,7.12,,0.04,,,0.00,9.27,1.21,22.88,6.01,0.00,0.00,0.00,3.77,0.09,8.09,1.22,3.89,1.33,10.75,3.09,10.75,3.09,0.00,15.0,21.1,66.3,75.4,56.9,,,15.8,20.2,14.4,17.8,,,462.06,0.08
647876,0,2003-AUG-30,0,N,NR,NL,6,Boreal-HighBorealForest(LakeMelville),1,5979525,429011,21,0,999,159,V,T,U,5.00,TC,OP,COMP,TS,U,-1,82,322,32.00,8.82,6.39,0.00,,0.25,,,,34.74,6.36,16.30,0.00,,,0.00,2.74,0.00,14.03,1.25,1.73,0.59,12.34,2.27,12.34,2.27,0.00,54.7,,39.5,80.5,56.3,39.3,14.6,,,,,,,502.01,0.07
647876,0,2012-SEP-10,1,F,NA,NL,6,,-1,5979525,429011,21,0,999,159,V,T,U,0.48,TC,OP,COMP,TS,N,,,,34.89,4.16,11.19,0.00,,0.20,,,0.00,33.14,3.25,23.86,0.00,0.00,0.00,0.00,5.35,0.01,1.52,2.34,1.23,0.33,0.00,0.00,0.00,0.00,0.00,15.0,,32.4,46.0,57.6,,,,,,,,,494.33,0.11
647886,0,2004-SEP-17,0,N,NR,NL,6,Boreal-HighBoredForest(LakeMelville),12,5946237,451293,21,0,999,156,V,T,U,0.91,TC,OP,SNGL,TS,U,-1,104,448,27.30,4.53,29.83,6.24,,0.18,,,,26.84,3.28,49.92,4.79,,,0.00,2.48,0.00,6.70,2.09,2.47,0.64,14.29,4.17,14.29,4.17,0.00,55.0,,69.7,74.8,73.5,37.1,10.0,,,,,,,502.88,0.09
