nfi_plot,loc_id,meas_date,meas_num,plot_type,nom_plot_size,meas_plot_size,plot_split,species_smtnum,bindex_stshannon,bindex_steven,bindex_stmargalef,plotbio_smt_stemwood_live,plotbio_smt_stembark_live,plotbio_smt_branches_live,plotbio_smt_foliage_live,plotbio_smt_stemwood_dead,plotbio_smt_stembark_dead,plotbio_smt_branches_dead
634156,0,2004-SEP-11,0,STC,-1.0000,0.0050,F,2,0.53,0.76,0.46,0.84,0.19,0.48,1.39,0.00,0.00,0.00
634156,0,2010-AUG-20,1,STC,0.0050,0.0050,N,2,0.38,0.54,0.48,1.10,0.25,0.81,1.75,0.00,0.00,0.00
641001,0,2004-SEP-18,0,STC,-1.0000,0.0050,F,2,0.12,0.17,0.27,9.82,1.94,5.53,13.41,0.24,0.05,0.12
641001,0,2010-SEP-14,1,STC,0.0050,0.0050,N,2,0.12,0.17,0.27,9.91,2.02,6.62,16.09,0.00,0.00,0.00
641016,0,2003-AUG-22,0,STC,-1.0000,0.0050,F,2,0.22,0.31,0.35,8.66,1.67,4.38,9.56,0.00,0.00,0.00
647866,0,2004-SEP-19,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,5.96,1.25,3.33,9.26,3.95,0.72,1.19
647866,0,2011-SEP-09,1,STC,0.0050,0.0050,N,1,0.00,,0.00,7.30,1.51,3.71,10.36,3.87,0.72,1.43
647876,0,2003-AUG-30,0,STC,-1.0000,0.0050,F,2,0.29,0.41,0.31,3.57,0.74,3.57,8.42,0.00,0.00,0.00
647876,0,2012-SEP-10,1,STC,0.0050,0.0050,F,2,0.26,0.37,0.30,6.13,1.24,5.01,11.48,0.00,0.00,0.00
647886,0,2004-SEP-17,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,16.96,3.39,8.64,20.94,3.32,0.58,0.89
647886,0,2010-SEP-12,1,STC,0.0050,0.0050,N,1,0.00,,0.00,19.36,3.81,8.97,20.91,3.52,0.63,1.29
647896,0,2003-AUG-24,0,STC,-1.0000,0.0050,F,3,0.41,0.37,0.55,8.50,1.69,4.39,10.40,2.59,0.50,0.63
647896,0,2010-AUG-20,1,STC,0.0050,0.0050,N,1,0.00,,0.00,10.18,2.00,4.41,10.63,2.82,0.50,0.78
647911,0,2004-SEP-20,0,STC,-1.0000,0.0050,F,2,0.68,0.99,0.33,8.00,1.44,2.80,4.58,0.00,0.00,0.00
647911,0,2014-AUG-14,1,STC,0.0050,0.0050,F,2,0.68,0.99,0.33,16.69,2.53,3.75,5.14,0.00,0.00,0.00
647926,0,2004-SEP-12,0,STC,-1.0000,0.0050,F,2,0.35,0.50,0.26,5.32,1.12,4.38,10.90,0.00,0.00,0.00
647926,0,2009-SEP-12,1,STC,0.0050,0.0050,N,2,0.35,0.50,0.26,4.89,1.04,5.20,13.49,0.00,0.00,0.00
654746,0,2003-AUG-27,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,14.84,2.74,5.32,10.33,1.62,0.32,0.71
654781,0,2004-SEP-14,0,STC,-1.0000,0.0050,F,2,0.39,0.57,0.37,0.36,0.09,0.16,0.87,0.82,0.15,0.22
654781,0,2010-AUG-24,1,STC,0.0050,0.0050,N,2,0.57,0.83,0.32,0.81,0.18,0.45,1.88,0.62,0.12,0.10
654801,0,2004-SEP-10,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,0.66,0.14,0.47,1.21,3.31,0.58,0.89
654801,0,2009-SEP-09,1,STC,0.0050,0.0050,N,1,0.00,,0.00,1.11,0.23,0.49,1.24,0.87,0.17,0.11
654811,0,2004-SEP-08,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,8.49,1.73,6.99,15.91,1.19,0.21,0.42
654811,0,2009-SEP-19,1,STC,0.0050,0.0050,N,1,0.00,,0.00,7.26,1.50,5.86,14.43,1.33,0.26,0.90
654821,0,2004-SEP-09,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,2.87,0.53,1.19,3.01,0.00,0.00,0.00
654821,0,2009-SEP-17,1,STC,0.0050,0.0050,N,1,0.00,,0.00,2.56,0.46,1.09,3.09,0.00,0.00,0.00
668506,0,2004-SEP-16,0,STC,-1.0000,0.0050,F,2,0.62,0.90,0.34,2.94,0.59,1.62,4.56,0.00,0.00,0.00
668596,0,2004-JUL-09,0,STC,-1.0000,0.0050,F,2,0.56,0.81,0.40,5.96,1.08,2.01,4.07,0.83,0.15,0.25
668596,0,2014-JUL-19,1,STC,0.0050,0.0050,F,2,0.68,0.99,0.51,3.46,0.64,1.25,2.70,2.03,0.35,0.67
668691,0,2003-JUL-20,0,STC,-1.0000,0.0050,F,3,0.37,0.34,0.46,31.57,5.81,9.08,18.72,0.28,0.05,0.09
668691,0,2011-JUL-20,1,STC,0.0050,0.0050,N,3,0.38,0.35,0.48,40.32,7.19,9.06,17.04,0.25,0.05,0.07
675546,0,2003-JUL-21,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,3.87,0.77,1.83,4.53,4.56,0.84,1.72
675546,0,2011-JUL-11,1,STC,0.0050,0.0050,N,1,0.00,,0.00,4.66,0.94,2.44,6.36,3.47,0.65,1.50
682421,0,2003-AUG-16,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,0.69,0.13,0.29,0.60,1.66,0.33,0.53
682421,0,2008-SEP-27,1,STC,0.0050,0.0050,N,0,,,,0.00,0.00,0.00,0.00,0.74,0.14,0.31
682436,0,2003-JUL-20,0,STC,-1.0000,0.0050,F,2,0.35,0.50,0.46,2.58,0.53,1.33,3.33,3.34,0.59,0.77
682436,0,2015-JUL-17,1,STC,0.0050,0.0050,F,1,0.00,,0.00,5.54,1.07,2.61,5.54,0.00,0.00,0.00
682441,0,2004-SEP-30,0,STC,-1.0000,0.0050,F,4,0.71,0.51,0.75,8.56,1.80,4.82,9.91,3.17,0.58,1.17
682441,0,2011-JUL-06,1,STC,0.0050,0.0050,N,3,0.43,0.39,0.48,11.06,2.30,5.98,13.49,2.10,0.39,1.31
689141,0,2003-SEP-13,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,16.10,3.01,5.10,11.75,7.91,1.38,1.55
689251,0,2004-JUL-08,0,STC,-1.0000,0.0050,F,2,0.66,0.96,0.28,11.99,2.30,7.25,16.31,1.32,0.25,0.47
689251,0,2014-JUL-07,1,STC,0.0050,0.0050,F,2,0.67,0.97,0.30,10.44,2.03,5.74,13.24,0.86,0.17,0.87
689336,0,2003-JUL-18,0,STC,-1.0000,0.0050,F,2,0.07,0.09,0.23,13.24,2.79,9.53,24.32,0.02,0.01,0.01
689336,0,2011-JUL-22,1,STC,0.0050,0.0050,N,2,0.07,0.09,0.23,16.78,3.46,9.19,23.07,1.05,0.21,0.48
696021,0,2003-SEP-14,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,6.52,1.27,3.06,6.99,1.64,0.29,0.46
696021,0,2011-SEP-13,1,STC,0.0050,0.0050,N,1,0.00,,0.00,5.50,1.06,2.02,4.67,0.11,0.03,0.04
696121,0,2004-JUL-06,0,STC,-1.0000,0.0050,F,1,0.00,,0.00,2.08,0.38,0.73,1.49,2.44,0.43,0.76
696121,0,2010-JUN-12,1,STC,0.0050,0.0050,N,1,0.00,,0.00,1.26,0.23,0.40,0.78,1.22,0.21,0.35
696151,0,2004-AUG-15,0,STC,-1.0000,0.0050,F,4,1.01,0.73,0.73,5.12,0.81,3.46,6.93,0.02,0.01,0.01
