nfi_plot,loc_id,meas_num,smtree_species_num,smtree_genus,smtree_species,smtree_variety,smtree_percent
634156,0,0,1,PICE,MAR,,70
634156,0,0,2,LARI,LAR,,30
634156,0,1,1,PICE,MAR,,53
634156,0,1,2,LARI,LAR,,48
641001,0,0,1,PICE,MAR,,97
641001,0,0,2,ABIE,BAL,,3
641001,0,1,1,PICE,MAR,,96
641001,0,1,2,ABIE,BAL,,4
641016,0,0,1,PICE,MAR,,93
641016,0,0,2,ABIE,BAL,,7
647866,0,0,1,PICE,MAR,,100
647866,0,1,1,PICE,MAR,,100
647876,0,0,1,PICE,MAR,,94
647876,0,0,2,ABIE,BAL,,7
647876,0,1,1,PICE,MAR,,93
647876,0,1,2,ABIE,BAL,,7
647886,0,0,1,PICE,MAR,,100
647886,0,1,1,PICE,MAR,,100
647896,0,0,1,PICE,MAR,,98
647896,0,0,2,ALNU,RUG,,1
647896,0,0,3,SALI,SPP,,1
647896,0,1,1,PICE,MAR,,100
647911,0,0,1,LARI,LAR,,79
647911,0,0,2,PICE,MAR,,21
647911,0,1,1,LARI,LAR,,80
647911,0,1,2,PICE,MAR,,20
647926,0,0,1,PICE,MAR,,79
647926,0,0,2,ABIE,BAL,,21
647926,0,1,1,PICE,MAR,,78
647926,0,1,2,ABIE,BAL,,22
654746,0,0,1,PICE,MAR,,100
654781,0,0,1,PICE,MAR,,87
654781,0,0,2,ABIE,BAL,,13
654781,0,1,1,PICE,MAR,,67
654781,0,1,2,ABIE,BAL,,33
654801,0,0,1,PICE,MAR,,100
654801,0,1,1,PICE,MAR,,100
654811,0,0,1,PICE,MAR,,100
654811,0,1,1,PICE,MAR,,100
654821,0,0,1,ABIE,BAL,,100
654821,0,1,1,ABIE,BAL,,100
668506,0,0,1,PICE,MAR,,52
668506,0,0,2,ABIE,BAL,,48
668596,0,0,1,PICE,MAR,,65
668596,0,0,2,ABIE,BAL,,35
668596,0,1,1,ABIE,BAL,,68
668596,0,1,2,PICE,MAR,,32
668691,0,0,1,PICE,MAR,,96
668691,0,0,2,ABIE,BAL,,4
668691,0,0,3,BETU,PAP,,0
668691,0,1,1,PICE,MAR,,96
668691,0,1,2,ABIE,BAL,,3
668691,0,1,3,BETU,PAP,,1
675546,0,0,1,PICE,MAR,,100
675546,0,1,1,PICE,MAR,,100
682421,0,0,1,PICE,MAR,,100
682436,0,0,1,PICE,MAR,,99
682436,0,0,2,LARI,LAR,,1
682436,0,1,1,PICE,MAR,,100
682441,0,0,1,BETU,PAP,,45
682441,0,0,2,PICE,MAR,,42
682441,0,0,3,ABIE,BAL,,13
682441,0,0,4,SALI,SPP,,1
682441,0,1,1,PICE,MAR,,54
682441,0,1,2,BETU,PAP,,37
682441,0,1,3,ABIE,BAL,,9
689141,0,0,1,PICE,MAR,,100
689251,0,0,1,PICE,MAR,,64
689251,0,0,2,ABIE,BAL,,36
689251,0,1,1,PICE,MAR,,62
689251,0,1,2,ABIE,BAL,,38
689336,0,0,1,PICE,MAR,,98
689336,0,0,2,ABIE,BAL,,2
689336,0,1,1,PICE,MAR,,98
689336,0,1,2,ABIE,BAL,,2
696021,0,0,1,PICE,MAR,,100
696021,0,1,1,PICE,MAR,,100
696121,0,0,1,ABIE,BAL,,100
696121,0,1,1,ABIE,BAL,,100
696151,0,0,1,PICE,MAR,,44
696151,0,0,2,ABIE,BAL,,29
696151,0,0,3,ALNU,RUG,,23
696151,0,0,4,BETU,PAP,,4
696151,0,1,1,PICE,MAR,,66
696151,0,1,2,ABIE,BAL,,34
696201,0,0,1,PICE,MAR,,100
696201,0,1,1,PICE,MAR,,100
702906,0,0,1,ALNU,RUG,,61
702906,0,0,2,PICE,MAR,,30
702906,0,0,3,ABIE,BAL,,6
702906,0,0,4,BETU,PAP,,4
702906,0,1,1,PICE,MAR,,88
702906,0,1,2,ABIE,BAL,,8
