x_lambert,y_lambert,nfi_plot,loc_id,meas_date,meas_num,plot_completion,incomp_reason,province,ecozone,prov_eco_type,prov_eco_ref,utm_zone,slope,aspect,elevation,land_base,land_cover,land_pos,plotvol_falllive,veg_type,density_cl,stand_stru,succ_stage,wetland_class,user_info,ec_region,ec_district,plotvol_standlive,plotvol_standdead,plotvol_smtr_live,plotvol_smtr_dead,grossvol_incr,grossvol_mai,plotvol_stump,plotbio_stump,plotbio_smstump,plotbio_lgtr_live,plotbio_lgtr_dead,plotbio_smtr_live,plotbio_smtr_dead,plotbio_lgshrub_live,plotbio_lgshrub_dead,plotvol_oddwd,plotbio_smshrub,plotbio_herb,plotbio_bryo,plotbio_fwd,plotvol_swd,plotbio_swd,plotvol_cwd,plotbio_cwd,plotvol_roundwd,plotbio_roundwd,plotbio_oddwd,sample_depth_min,sample_depth_org,cc_for_floor_8mm,cc_for_floor_total,cc_min0_15,cc_min15_35,cc_min35_55,cc_organic0_15_8mm,cc_organic0_15_total,cc_organic15_35_8mm,cc_organic15_35_total,cc_organic35_55_8mm,cc_organic35_55_total,avg_org_carb,avg_bulk_density_org,ECOPROVINC,ECOZONE_2,ZONE_NAME
4586026.945,3649813.88,908331,0,2002-AUG-19,0,N,NR,NT,4,NA,-1,9,-1,999,0,V,T,U,0,TC,SP,MULT,MS,U,NA,170,870,40.18,0,0.49,0,NA,NA,NA,NA,NA,25.76,0,0.69,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,45,NA,NA,NA,24,18.5,2.9,NA,NA,NA,NA,NA,NA,370.9,NA,11.4,11,Taiga Cordillera
4642798.064,4036595.776,777571,0,2006-JUL-18,0,N,NR,NT,4,NA,-1,8,0,999,186,V,T,U,0,TC,OP,SNGL,TS,U,NA,52,200,1.74,0,4.85,1.1,NA,0.01,NA,NA,NA,1.33,0,6.07,1.12,NA,NA,0,8.57,0.17,7.34,0.71,0,0,0,0,0,0,0,49.5,NA,40.1,NA,51.6,70.9,40.1,NA,NA,NA,NA,NA,NA,412.78,0.07,4.2,4,Taiga Plain
4665212.179,4000902.364,784461,0,2006-JUL-19,0,N,NR,NT,4,NA,-1,8,7,244,225,V,T,U,0,TC,SP,COMP,ES,U,NA,52,199,0.77,11.4,0.21,0,NA,0.1,NA,NA,NA,0.65,6.36,0.43,0,NA,NA,16.5,1.97,0.2,3.37,1.95,12.6,3.17,46.92,11.77,30.42,7.3,4.47,46.5,NA,88.1,NA,73.1,87.6,40.7,NA,NA,NA,NA,NA,NA,373.03,0.12,4.2,4,Taiga Plain
4623170.683,4004401.166,791331,0,2006-JUL-21,0,N,NR,NT,4,NA,-1,8,0,999,240,V,T,U,0,TC,OP,COMP,TS,U,NA,52,199,0.79,0,2.74,0,NA,NA,NA,NA,NA,0.61,0,4.43,0,NA,NA,0,1.15,0.25,4.34,0.67,1.23,0.42,0,0,0,0,0,53.8,NA,64.2,NA,50.3,45.9,49.8,NA,NA,NA,NA,NA,NA,309.88,0.13,4.2,4,Taiga Plain
4564988.434,4017812.484,798196,0,2006-JUL-21,0,N,NR,NT,4,NA,-1,8,0,999,105,V,T,U,0,TC,OP,COMP,TS,U,NA,52,200,0,0,5.22,1.1,NA,0,NA,NA,NA,0,0,6.69,1.01,NA,NA,0,1.68,0.72,4.22,1.41,0.99,0.39,0,0,0,0,0,NA,15,128.1,NA,NA,NA,NA,39.9,NA,NA,NA,NA,NA,429.54,0.09,4.2,4,Taiga Plain
4645615.496,3968643.102,798221,0,2006-JUL-28,0,N,NR,NT,4,NA,-1,8,2,999,191,V,T,U,0,TC,SP,COMP,LS,U,NA,52,199,8.61,0,1.93,0.33,NA,0.07,NA,NA,NA,5.52,0,2.64,0.37,NA,NA,0,2.18,0.58,6.24,2.83,15.56,4.75,24.13,6.1,24.13,6.1,0,35,NA,117.9,NA,90.2,79,NA,NA,NA,NA,NA,NA,NA,344.1,0.15,4.2,4,Taiga Plain
4529120.855,3995446.037,811951,0,2006-JUL-20,0,N,NR,NT,4,NA,-1,8,3,48,150,V,T,U,0,TC,SP,COMP,TS,U,NA,53,211,0,1.42,1.51,5.43,NA,0.01,0.14,0.04,NA,0,1.03,2.07,5.28,NA,NA,0,6.42,0.65,1.75,1.95,1.48,0.59,1.84,0.76,1.84,0.76,0,38.5,NA,136.1,NA,72.9,60.6,15.8,NA,NA,NA,NA,NA,NA,362.98,0.15,4.2,4,Taiga Plain
4535377.08,3969425.414,818836,0,2006-JUL-20,0,N,NR,NT,4,NA,-1,8,0,999,87,V,T,U,0,TC,SP,SNGL,LS,U,NA,53,208,0,0,1.97,0,NA,0,NA,NA,NA,0,0,1.87,0,NA,NA,0,1.98,0.67,1.96,1.34,1.23,0.42,0,0,0,0,0,NA,41.3,NA,NA,NA,NA,NA,40.3,NA,207.6,NA,61.8,NA,469.85,0.16,4.2,4,Taiga Plain
4600004.568,3930005.51,818856,0,2006-JUL-21,0,N,NR,NT,4,NA,-1,8,2,999,109,V,T,U,0,TC,OP,MULT,ES,U,NA,53,210,0,0,2.04,0,NA,NA,NA,NA,NA,0,0,3.48,0,NA,NA,0,6.61,1.77,0.46,1,1.23,0.51,0,0,0,0,0,46.1,NA,68,NA,63.3,79.2,42.7,NA,NA,NA,NA,NA,NA,287.47,0.25,4.2,4,Taiga Plain
4771732.345,3958506.097,777611,0,2006-JUL-19,0,N,NR,NT,4,NA,-1,9,0,999,218,V,T,U,0,TC,SP,SNGL,TS,U,NA,52,199,0,2.18,0.11,0,NA,0.01,NA,NA,NA,0,1.32,0.2,0,NA,NA,0,0.66,0.42,3.32,0.89,3.89,1.17,1.98,0.58,1.98,0.58,0,45.7,NA,88.7,NA,84.5,122.1,26.5,NA,NA,NA,NA,NA,NA,339.73,0.18,4.2,4,Taiga Plain
4700456.089,3913356.82,805121,0,2006-JUL-22,0,N,NR,NT,4,NA,-1,9,4,20,288,V,T,U,0,TC,SP,MULT,LS,U,NA,52,199,1.22,0,4.47,0.23,NA,0.01,5.78,1.43,NA,0.82,0,5.46,0.34,NA,NA,0,2.69,0.12,1.05,0.29,9.32,2.53,0,0,0,0,0,24.3,NA,121.2,NA,125.9,70.7,NA,NA,NA,NA,NA,NA,NA,345.75,0.19,4.2,4,Taiga Plain
