nfi_plot,loc_id,VARIABLE,ZERO_CHECK,YEAR_X0,YEAR_X1,YEAR_X2,VALUE_X0,VALUE_X1,VALUE_X2
908331,0,Stump,NA,2002,NA,NA,NA,NA,NA
908331,0,Sm Stump,NA,2002,NA,NA,NA,NA,NA
908331,0,Lg Live Tree,NA,2002,NA,NA,25.76,NA,NA
908331,0,Lg Dead Tree,NA,2002,NA,NA,0,NA,NA
908331,0,Sm Live Tree,NA,2002,NA,NA,0.69,NA,NA
908331,0,Sm Dead Tree,NA,2002,NA,NA,0,NA,NA
908331,0,Lg Live Shrub,NA,2002,NA,NA,NA,NA,NA
908331,0,Lg Dead Shrub,NA,2002,NA,NA,NA,NA,NA
908331,0,Sm Shrub,NA,2002,NA,NA,NA,NA,NA
908331,0,Herbs,NA,2002,NA,NA,NA,NA,NA
908331,0,Bryophytes,NA,2002,NA,NA,NA,NA,NA
908331,0,Fine WD,NA,2002,NA,NA,NA,NA,NA
908331,0,Sm WD,NA,2002,NA,NA,0,NA,NA
908331,0,Coarse WD,NA,2002,NA,NA,0,NA,NA
908331,0,Round WD,NA,2002,NA,NA,0,NA,NA
908331,0,Odd WD,NA,2002,NA,NA,0,NA,NA
908331,0,Forest Floor 8mm,NA,2002,NA,NA,NA,NA,NA
908331,0,For Floor Total,NA,2002,NA,NA,NA,NA,NA
777571,0,Stump,NA,2006,NA,NA,NA,NA,NA
777571,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
777571,0,Lg Live Tree,NA,2006,NA,NA,1.33,NA,NA
777571,0,Lg Dead Tree,NA,2006,NA,NA,0,NA,NA
777571,0,Sm Live Tree,NA,2006,NA,NA,6.07,NA,NA
777571,0,Sm Dead Tree,NA,2006,NA,NA,1.12,NA,NA
777571,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
777571,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
777571,0,Sm Shrub,NA,2006,NA,NA,8.57,NA,NA
777571,0,Herbs,NA,2006,NA,NA,0.17,NA,NA
777571,0,Bryophytes,NA,2006,NA,NA,7.34,NA,NA
777571,0,Fine WD,NA,2006,NA,NA,0.71,NA,NA
