nfi_plot,DIST_0_1,DIST_1_2,province
1197326,8.60272,NA,BC
1211056,6.0022,NA,BC
1245481,14.42366,NA,BC
1266111,35.39165,NA,BC
1273001,10.63107,NA,BC
1279861,8.54674,NA,BC
1279876,4.47284,NA,BC
1286741,12.04544,NA,BC
1300521,11.18116,NA,BC
1307371,6.08505,NA,BC
1307391,5.1001,NA,BC
1307401,64.12938,NA,BC
1314251,2.23691,NA,BC
1314286,2.23603,NA,BC
1327976,4.47344,NA,BC
1328041,13.15373,NA,BC
1334886,12.7329,NA,BC
1341751,5.83321,NA,BC
1341756,56.88213,NA,BC
1341776,5.38701,NA,BC
1348646,8.0654,NA,BC
1348666,3.60647,NA,BC
1355561,9.00041,NA,BC
1458736,0,105.2569,BC
1479401,0,145.2763,BC
1479406,180.87709,NA,BC
1500046,7.07017,NA,BC
929016,0,NA,NT
929021,0,NA,NT
929061,0,NA,NT
942786,0,NA,NT
949656,0,NA,NT
963446,0,NA,NT
970321,0,NA,NT
970336,0,NA,NT
977196,0,NA,NT
977211,0,NA,NT
984081,0,NA,NT
997836,0,NA,NT
997846,0,NA,NT
997851,0,NA,NT
997881,0,NA,NT
1004761,11.0474,NA,NT
1018501,82.74073,NA,NT
1018511,18.00537,NA,NT
1018521,15.29997,NA,NT
1025351,0,NA,NT
1025376,32.29256,NA,NT
1032241,0,NA,NT
1032286,0,NA,NT
1039166,6.40396,NA,NT
1046006,298.72412,NA,NT
1046031,7.6181,NA,NT
1046046,26.47993,NA,NT
1052881,5.38725,NA,NT
1052886,27.30556,NA,NT
1066646,6.08518,NA,NT
1066676,1.41459,NA,NT
1073521,6.32699,NA,NT
1073561,18.03154,NA,NT
1073566,0,NA,NT
1080421,170.75985,NA,NT
1080431,3.16327,NA,NT
1087286,766.60045,NA,NT
1087331,4.12342,NA,NT
1169811,6.70861,NA,BC
1190456,1.00013,NA,BC
1204221,6.40434,NA,BC
1211116,2.23682,NA,BC
1217986,2.23661,NA,BC
1217991,2.23673,NA,BC
1217996,11.40558,NA,BC
1224876,6.32667,NA,BC
1231761,13.60642,NA,BC
1259261,25.49935,NA,BC
1259296,8.54742,NA,BC
1266166,2.23692,NA,BC
1273031,1.00028,NA,BC
1279961,1.00028,NA,BC
1279966,4.12403,NA,BC
1286771,17.80443,NA,BC
1293651,1.4142,NA,BC
1293661,1.41443,NA,BC
1293686,13.00492,NA,BC
1293691,1.41477,NA,BC
